country,date,name,type
LV,N/A,"[{'language': 'EN', 'text': 'Easter Monday'}]",Public
LV,N/A,"[{'language': 'EN', 'text': 'Labour Day'}]",Public
LV,N/A,"[{'language': 'EN', 'text': 'Day of the Restoration of Independence'}]",Public
LV,N/A,"[{'language': 'EN', 'text': ""Mother's Day""}]",Public
LV,N/A,"[{'language': 'EN', 'text': 'Pentecost'}]",Public
LV,N/A,"[{'language': 'EN', 'text': 'Winning the bronze medal at the 2023 Ice Hockey World Championship'}]",Public
LV,N/A,"[{'language': 'EN', 'text': ""Midsummer's Eve""}]",Public
LV,N/A,"[{'language': 'EN', 'text': 'Midsummer Day'}]",Public
LV,N/A,"[{'language': 'EN', 'text': 'Day of the Proclamation of the Republic of Latvia'}]",Public
LV,N/A,"[{'language': 'EN', 'text': 'Christmas Eve'}]",Public
LV,N/A,"[{'language': 'EN', 'text': 'Christmas Day'}]",Public
LV,N/A,"[{'language': 'EN', 'text': '2nd Day of Christmas'}]",Public
LV,N/A,"[{'language': 'EN', 'text': ""New Year's Eve""}]",Public
LI,N/A,"[{'language': 'EN', 'text': ""New Year's Day""}]",Public
LI,N/A,"[{'language': 'EN', 'text': 'Epiphany'}]",Public
LI,N/A,"[{'language': 'EN', 'text': 'Easter Monday'}]",Public
LI,N/A,"[{'language': 'EN', 'text': 'Labour Day'}]",Public
LI,N/A,"[{'language': 'EN', 'text': 'Ascension Day'}]",Public
LI,N/A,"[{'language': 'EN', 'text': 'Pentecost Monday'}]",Public
LI,N/A,"[{'language': 'EN', 'text': 'Corpus Christi'}]",Public
LI,N/A,"[{'language': 'EN', 'text': 'National Day (Assumption)'}]",Public
LI,N/A,"[{'language': 'EN', 'text': 'Nativity of Mary'}]",Public
LI,N/A,"[{'language': 'EN', 'text': ""All Saints' Day""}]",Public
LI,N/A,"[{'language': 'EN', 'text': 'Immaculate Conception'}]",Public
LI,N/A,"[{'language': 'EN', 'text': 'Christmas Day'}]",Public
LI,N/A,"[{'language': 'EN', 'text': ""St. Stephen's Day""}]",Public
LT,N/A,"[{'language': 'EN', 'text': ""New Year's Day""}]",Public
LT,N/A,"[{'language': 'EN', 'text': 'Day of restoration of the Lithuanian state'}]",Public
LT,N/A,"[{'language': 'EN', 'text': 'Day of Restoration of Independence of Lithuania'}]",Public
LT,N/A,"[{'language': 'EN', 'text': 'Easter Sunday'}]",Public
LT,N/A,"[{'language': 'EN', 'text': 'Easter Monday'}]",Public
LT,N/A,"[{'language': 'EN', 'text': 'Labour Day'}]",Public
LT,N/A,"[{'language': 'EN', 'text': 'Midsummer Day'}]",Public
LT,N/A,"[{'language': 'EN', 'text': 'National Day'}]",Public
LT,N/A,"[{'language': 'EN', 'text': 'Assumption Day'}]",Public
LT,N/A,"[{'language': 'EN', 'text': ""All Saints' Day""}]",Public
LT,N/A,"[{'language': 'EN', 'text': ""All Souls' Day""}]",Public
LT,N/A,"[{'language': 'EN', 'text': 'Christmas Eve'}]",Public
LT,N/A,"[{'language': 'EN', 'text': 'Christmas Day'}]",Public
LT,N/A,"[{'language': 'EN', 'text': '2nd Day of Christmas'}]",Public
LU,N/A,"[{'language': 'EN', 'text': 'New Year'}]",Public
LU,N/A,"[{'language': 'EN', 'text': 'Good Friday'}]",Bank
LU,N/A,"[{'language': 'EN', 'text': 'Easter Monday'}]",Public
LU,N/A,"[{'language': 'EN', 'text': 'Mayday'}]",Public
LU,N/A,"[{'language': 'EN', 'text': 'Europe Day'}]",Public
LU,N/A,"[{'language': 'EN', 'text': 'Ascension Day'}]",Public
LU,N/A,"[{'language': 'EN', 'text': 'Whit Monday'}]",Public
LU,N/A,"[{'language': 'EN', 'text': ""Grand Duke's Birthday""}]",Public
LU,N/A,"[{'language': 'EN', 'text': 'Assumption'}]",Public
LU,N/A,"[{'language': 'EN', 'text': 'All Saints'}]",Public
LU,N/A,"[{'language': 'EN', 'text': 'Christmas Day'}]",Public
LU,N/A,"[{'language': 'EN', 'text': 'Boxing Day'}]",Public
MT,N/A,"[{'language': 'EN', 'text': ""New Year's Day""}]",Public
MT,N/A,"[{'language': 'EN', 'text': ""Feast of St. Paul's Shipwreck""}]",Public
MT,N/A,"[{'language': 'EN', 'text': 'Feast of St. Joseph'}]",Public
MT,N/A,"[{'language': 'EN', 'text': 'Freedom Day'}]",Public
MT,N/A,"[{'language': 'EN', 'text': 'Good Friday'}]",Public
MT,N/A,"[{'language': 'EN', 'text': ""Worker's Day""}]",Public
MT,N/A,"[{'language': 'EN', 'text': '\u200bSette Giugno'}]",Public
MT,N/A,"[{'language': 'EN', 'text': '\u200b\u200b\u200bFeast of St.Peter and St.Paul'}]",Public
MT,N/A,"[{'language': 'EN', 'text': '\u200b\u200b\u200bFeast of the Assumption'}]",Public
MT,N/A,"[{'language': 'EN', 'text': '\u200b\u200b\u200bFeast of Our Lady of Victories'}]",Public
MT,N/A,"[{'language': 'EN', 'text': '\u200b\u200b\u200bIndependence Day'}]",Public
MT,N/A,"[{'language': 'EN', 'text': '\u200bFeast of the Immaculate Conception'}]",Public
MT,N/A,"[{'language': 'EN', 'text': '\u200b\u200b\u200bRepublic Day'}]",Public
MT,N/A,"[{'language': 'EN', 'text': '\u200b\u200b\u200b\u200bChristmas Day'}]",Public
MD,N/A,"[{'language': 'EN', 'text': 'New Year'}]",Public
MD,N/A,"[{'language': 'EN', 'text': 'Birth of Jesus Christ (Christmas in the old style)'}]",Public
MD,N/A,"[{'language': 'EN', 'text': ""International Women's Day""}]",Public
MD,N/A,"[{'language': 'EN', 'text': 'Orthodox Easter Sunday'}]",Public
MD,N/A,"[{'language': 'EN', 'text': 'Orthodox Easter Monday'}]",Public
MD,N/A,"[{'language': 'EN', 'text': 'Commemoration Day (Radonitsa)'}]",Public
MD,N/A,"[{'language': 'EN', 'text': 'Labour Day'}]",Public
MD,N/A,"[{'language': 'EN', 'text': 'Victory Day'}]",Public
MD,N/A,"[{'language': 'EN', 'text': 'Europe Day'}]",Public
MD,N/A,"[{'language': 'EN', 'text': ""Children's Day""}]",Public
MD,N/A,"[{'language': 'EN', 'text': 'Independence Day of the Republic of Moldova'}]",Public
